"id","event_id","lang","title","teaser","content"
232,116,en,lecture,lecture,<p>lecture</p>
233,117,ru,Обзор справочных и библиографических пособий по российскому киноискусству,В рамках Года российского кино состоится обзор справочных и библиографических изданий по российскому киноискусству из собрания  справочно-информационного фонда Отдела научной информации РГБИ.,"<p>Среди изданий в коллекции РГБИ &ndash; кинословари, аннотированные каталоги фильмов, биографические и фильмографические справочники, посвященные деятелям кино (актерам, режиссерам, операторам, сценаристам), летописи российского кино, справочники по немому кино, справочные издания по кинофестивалям.</p>
<p>Работа со справочным фондом помогает читателям находить ответы на разнообразные вопросы по истории и теории киноискусства.</p>
<p>Обзор проводит главный библиограф РГБИ Галина Михайловна Чижова.</p>"
234,117,en,Book presentation,Book presentation,<p>&nbsp;&nbsp;&nbsp;</p>
235,118,ru,Книжно-иллюстративные выставки из цикла «Юбилеи года» в июне,"Отдел Абонемента РГБИ проводит в июне выставки посвященные юбилеям:Мерлин Монро, Михаила Ларионова , Джона Констебла. ","<p>Отдел Абонемента РГБИ проводит в октябре следующие выставки, посвященные :</p>
<ul>
<li>90 лет со дня рождения&nbsp; Мерлин Монро</li>
<li>135 лет со дня рождения Михаила Ларионова</li>
<li>240 лет со дня рождения Джона Констебла</li>
</ul>"
236,118,en,exhibition,exhibition,<p>&nbsp;&nbsp;&nbsp;</p>
237,119,ru,Книжно-иллюстративные выставки из цикла «Юбилеи года» в июле,"Отдел Абонемента РГБИ проводит в июле выставки посвященные юбилеям:Рембрандта Харменса ван Рейна, Джорджа Бернарда Шоу, Александр Андреевич Иванов ","<p>Отдел Абонемента РГБИ проводит в июле следующие выставки, посвященные :</p>
<ul>
<li>410&nbsp;лет со дня рождения&nbsp; художника Рембрандта Харменса ван Рейна</li>
<li>160 лет со дня рождения драматурга Джорджа Бернарда Шоу</li>
<li>210 лет со дня рождения художника Александра Андреевича Иванов</li>
</ul>"
238,119,en,exhibition,exhibition,<p>exhibition</p>
239,120,ru,Встреча с участниками выставки «Знаки памяти»,"В рамках выставки «Знаки памяти» пройдет встреча с  художниками, чьи работы выставлены на выставке «Знаки памяти». ","<p>В рамках выставки &laquo;Знаки памяти&raquo; пройдет встреча с &nbsp;художниками, чьи работы выставлены на выставке &laquo;Знаки памяти&raquo;. Они&nbsp; расскажут о собственном видении феномена памяти, о том как он стал частью их творчества</p>"
240,120,en,meeting,meeting,<p>meeting</p>
241,121,ru,Лекция «История печатной графики в Ирландии» ,В рамках выставки «Знаки памяти» состоится лекция ирландского художника Аарона Смита ,<p>В рамках выставки &laquo;Знаки памяти&raquo; состоится лекция ирландского художника Аарона Смита &laquo;История печатной графики в Ирландии&raquo; Лекция на английском языке с &nbsp;синхронным переводом на русский.</p>
242,121,en,lecture,lecture,<p>lecture</p>
